filename, token_number, chunk_number, token_number_from_chunks
01_introduction, 4194, 131, 5803
02_variables, 4482, 124, 5928
03_affichage, 6757, 189, 9174
04_listes, 3733, 91, 5018
05_boucles_comparaisons, 6327, 183, 8505
06_tests, 6183, 177, 8547
08_modules, 6895, 209, 9162
09_fonctions, 7458, 217, 10085
10_plus_sur_les_chaines_de_caracteres, 8577, 249, 11492
11_plus_sur_les_listes, 4721, 121, 6020
12_plus_sur_les_fonctions, 5031, 155, 6960
13_dictionnaires_tuples_sets, 17127, 476, 23880
15_bonnes_pratiques, 9090, 276, 12067
16_expressions_regulieres, 6469, 182, 8523
17_modules_interet_bioinfo, 27919, 782, 40279
18_jupyter, 2863, 82, 3530
19_avoir_la_classe_avec_les_objets, 26917, 850, 37624
20_tkinter, 15781, 522, 23412
